packet_size,duration,protocol,src_port,dst_port,is_malicious
1146,2.410315468639268,1,65199,176,0
1479,1.018966407484187,0,38462,1001,0
880,3.0690580438936745,1,64807,391,0
1314,2.133818658821524,0,29682,11,0
1150,0.8782721725827606,2,6227,201,0
1115,1.7945149676421963,2,22542,945,0
1098,3.686104325758147,0,52066,926,1
141,0.08181526121947735,1,53381,809,0
486,1.3492480227435792,0,9693,3,0
1258,0.09971917052920144,0,48760,214,0
350,0.9016060331982623,0,3390,808,0
529,5.187202721715109,2,57735,307,1
1888,0.1711543777567919,0,19934,980,1
1143,0.26239731511814907,2,57983,544,0
891,2.4730440762979344,0,32111,560,0
150,0.9579320521399337,2,1390,327,0
1352,0.2827423182324953,0,49439,764,0
789,1.1733781993864312,0,60204,199,0
724,4.2240846384235535,1,56697,916,1
1457,0.696303556513546,1,10931,601,0
825,3.737522578593749,0,40398,109,0
848,1.7950803097021526,0,31313,291,1
1235,0.4707096538911507,0,33804,108,0
1079,2.7936979190699534,0,58903,408,1
296,2.159206160007426,1,20647,552,0
1500,1.0855909061563949,2,36109,973,1
479,0.2238350126250745,0,21450,52,0
1357,0.24363585301903895,1,49221,112,0
41,1.1750997043948526,0,8509,295,0
272,0.9239186381537527,0,50551,580,0
767,0.9649337642018013,2,60092,189,0
1106,4.38184670810551,0,34048,844,1
696,3.0607409160066497,0,60632,721,1
1102,0.13689352341367697,2,50625,65,0
530,0.426954994135662,2,26493,574,0
719,0.5716265095522048,2,16927,465,0
995,0.5041174882806514,2,4236,258,0
209,1.106569692480761,1,59552,646,0
1372,6.746422858536507,1,39967,1004,1
706,0.36535747615691666,1,56119,634,0
977,0.8026878351066976,0,28823,331,0
582,1.5578394187141364,2,58202,501,0
1287,0.538227754314546,2,47363,683,0
851,0.18406482949037384,1,17111,210,0
1174,0.6442636212543524,0,8470,808,0
666,0.05680585090194893,0,51484,89,0
40,2.853945495625741,0,30305,679,0
860,0.07776826846703173,1,59284,28,0
186,0.5770664200642867,0,15901,238,0
1317,0.7547699802032695,0,64089,336,0
407,4.220168519000889,0,25747,63,0
646,0.3292382023791687,2,13967,960,1
335,0.12152548834340947,1,11330,767,0
33,0.008744266973853864,2,37808,908,0
261,0.16909513703969506,2,54116,553,0
796,0.23227635250876483,1,56889,500,0
1389,0.995823619648819,2,21479,541,0
584,0.24808552018025518,0,25515,791,0
917,0.02073429218507464,0,6936,469,0
1431,3.5873967264701454,0,30998,592,1
151,0.7620214336864259,0,28395,1013,1
1410,0.4364863599752824,1,34234,51,0
975,0.3602227000295149,2,36736,112,0
1534,10.456760851791955,2,4960,873,1
1471,0.18646864485994866,0,34190,301,0
528,2.2851191539545166,0,26751,90,0
833,10.438523247352624,2,49488,229,1
162,6.364945171750641,1,64993,150,1
225,4.322181723875819,2,29392,755,0
1124,0.31658368061957365,0,4019,138,0
1431,0.10378722839287977,0,40121,135,0
1323,2.40074507980425,1,36008,457,1
1072,3.2141368119606,2,51883,601,1
1433,0.9602917477728666,1,45315,494,0
585,0.16958011130072004,1,27587,527,0
1149,0.6510385573129752,0,23174,333,0
722,1.5166583268259088,2,23085,362,0
526,3.3736388914903617,0,30202,174,1
749,0.37351571199565414,2,36360,602,0
181,0.0031458490465664864,0,57814,213,0
221,0.19145522400187354,0,1184,343,0
1015,2.082691819087953,2,16672,61,0
289,0.5829421037096644,2,62803,876,0
835,4.149931222102274,0,41859,732,0
1629,1.4679572252054964,2,37696,61,1
475,1.2559205401126432,0,4597,819,0
1343,2.5755287525055497,2,61545,678,1
1036,0.4522574540430544,0,35617,524,0
315,0.21161771419202155,0,14810,216,0
739,0.4262736649859736,0,29524,589,0
417,1.6703052119164437,1,10839,744,1
898,4.800319383809852,2,22990,624,0
1096,1.0912446358162287,0,14818,578,0
811,0.22220143825251198,1,32447,694,0
236,0.04600356401966207,0,34968,423,0
1245,2.732034916221033,1,22326,716,1
407,3.96494001740885,0,62088,423,1
399,1.448852247960724,0,22288,371,0
512,2.820422026997776,1,20628,206,0
1084,0.015949694819316067,1,28859,286,0
1200,0.739736066600744,2,8844,105,0
223,1.7081778808791932,2,50306,754,1
271,3.3787790234803547,1,63939,747,1
540,0.8200238609023919,2,56835,688,0
1387,1.1616771779985209,1,53738,723,0
1172,1.0731860469543508,2,2523,543,0
667,0.12444335690115639,0,24838,747,0
1106,1.608028474252502,2,25113,242,0
1182,0.13151351643971124,0,8650,491,0
612,1.1990868441238118,0,56855,665,0
411,0.538103244331756,2,33770,708,0
438,0.7212395717357333,1,17161,498,0
308,2.3361213428734215,0,52964,435,0
477,2.51220983459193,0,22284,781,1
250,1.702959374051728,2,37500,484,0
1309,6.526282581191828,1,27307,447,1
60,1.3327149603744903,1,2793,384,0
1276,3.50618728569891,2,43302,510,1
267,2.0463539388101384,1,48018,170,1
220,0.5154627473456724,2,63922,1021,0
799,3.514433643580192,2,16658,950,0
1180,7.188597575894519,2,40523,869,1
1076,1.3532566443223843,0,61747,323,0
1250,1.842947555276194,0,11989,848,1
522,0.1411645526855122,0,28590,474,0
426,1.9289784533071985,2,53220,232,0
824,0.1806856390029973,0,34167,696,0
118,1.9259364804868886,0,49309,359,0
1028,3.8402929774362513,0,56523,275,1
745,0.5218137456817087,2,20444,942,0
980,2.335013029261643,2,26260,911,0
632,0.9259648317968016,2,7242,32,0
662,0.8594710033267627,0,59771,177,0
1048,0.8181798065136336,1,50916,917,0
1261,0.4638935594295342,0,9519,65,0
522,1.5401129125771431,0,34877,710,0
786,0.2914203096496684,2,65081,27,0
417,2.795160929156949,2,14097,663,0
890,2.244176619581086,0,12395,815,0
1083,10.177051244106016,0,18618,479,1
851,4.130441838014415,1,12250,268,1
226,0.8514941060396971,1,58596,597,0
1058,0.41196010802775895,2,53295,1012,0
911,4.467292452005864,1,11070,66,0
883,0.025561269257826084,1,50443,133,0
762,0.2912163514929747,2,52950,905,0
1447,1.486787443113557,1,44833,916,1
583,0.7380462322411829,0,38141,366,0
1318,3.895693254440145,1,65468,82,1
115,1.3930216266056146,2,5989,893,0
504,0.9767783503928513,0,60502,831,0
1648,3.026729084853905,1,47284,982,1
250,0.054999588864765935,0,14360,328,0
768,0.4724550920897409,0,58301,98,0
1214,0.2640381262042364,1,20867,585,0
560,0.30838845979475693,1,60637,327,0
1079,0.8081932823050354,2,18397,542,0
544,0.2225253860797247,2,46476,125,0
1203,0.34806794921069,0,51113,210,0
1286,0.2706082741981679,2,7678,987,0
1313,3.2108189368981392,0,32304,784,1
597,2.8943628909621286,0,57165,725,0
701,0.9414587013310842,2,58807,133,0
576,2.583920266116569,2,41134,503,0
1032,1.5409041585112315,2,23431,157,0
